Stage,Step,Tank,Action,Start_t,Delta_t,Target_t,Pump_ID,PumpRate_tph,Time_h,Valve_Lineup,Draft_FWD,Draft_AFT,Trim_cm,UKC,Hold_Point,Notes
Stage 5_PreBallast,1,VOID3.S,FILL,0.0,152.08,152.08,SHIP_PUMP_01,10.0,15.21,"V-VOID3S-FILL,V-VOID3S-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 15.2h exceeds daylight window 12h
Stage 5_PreBallast,2,VOID3.P,FILL,0.0,147.15,147.15,SHIP_PUMP_01,10.0,14.71,"V-VOID3P-FILL,V-VOID3P-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 29.9h exceeds daylight window 12h
Stage 5_PreBallast,3,VOIDDB2.C,FILL,0.0,49.09,49.09,SHIP_PUMP_01,10.0,4.91,"V-VOIDDB2C-FILL,V-VOIDDB2C-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 34.8h exceeds daylight window 12h
Stage 5_PreBallast,4,FWB2.S,FILL,21.45,48.98,70.43,SHIP_PUMP_01,10.0,4.9,"V-FWB2S-FILL,V-FWB2S-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 39.7h exceeds daylight window 12h
Stage 5_PreBallast,5,FODB1.P,FILL,0.0,13.77,13.77,SHIP_PUMP_01,10.0,1.38,"V-FODB1P-FILL,V-FODB1P-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 41.1h exceeds daylight window 12h
Stage 5_PreBallast,6,FODB1.S,FILL,0.0,13.77,13.77,SHIP_PUMP_01,10.0,1.38,"V-FODB1S-FILL,V-FODB1S-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 42.5h exceeds daylight window 12h
Stage 5_PreBallast,7,FODB1.C,FILL,10.95,10.94,21.89,SHIP_PUMP_01,10.0,1.09,"V-FODB1C-FILL,V-FODB1C-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 43.6h exceeds daylight window 12h
Stage 5_PreBallast,8,FW1.P,FILL,18.0,5.16,23.16,SHIP_PUMP_01,10.0,0.52,"V-FW1P-FILL,V-FW1P-INLET",2.2,2.7,32.6,8.95,Y,WARNING: cumulative time 44.1h exceeds daylight window 12h
Stage 5_PreBallast,9,FW1.S,FILL,18.0,5.16,23.16,SHIP_PUMP_01,10.0,0.52,"V-FW1S-FILL,V-FW1S-INLET",2.2,2.7,32.6,8.95,N,WARNING: cumulative time 44.6h exceeds daylight window 12h
Stage 5_PreBallast,10,VOIDDB4.S,FILL,0.0,5.06,5.06,SHIP_PUMP_01,10.0,0.51,"V-VOIDDB4S-FILL,V-VOIDDB4S-INLET",2.2,2.7,32.6,8.95,N,WARNING: cumulative time 45.1h exceeds daylight window 12h
