Tank,Capacity_t,x_from_mid_m,Current_t,Min_t,Max_t,mode,use_flag,pump_rate_tph,priority_weight
DO.P,3.05,18.9,2.44,0.0,3.05,FILL_DISCHARGE,N,100.0,5.0
DO.S,3.05,18.9,2.44,0.0,3.05,FILL_DISCHARGE,N,100.0,5.0
FODB1.C,21.89,17.864,10.95,0.0,21.89,FILL_DISCHARGE,Y,100.0,5.0
FODB1.P,13.77,17.856,0.0,0.0,13.77,FILL_DISCHARGE,Y,100.0,5.0
FODB1.S,13.77,17.856,0.0,0.0,13.77,FILL_DISCHARGE,Y,100.0,5.0
FOW1.P,10.39,16.992,0.0,0.0,10.39,FILL_DISCHARGE,N,100.0,5.0
FOW1.S,10.39,16.992,0.0,0.0,10.39,FILL_DISCHARGE,N,100.0,5.0
LRFO.P,154.89,10.651,77.45,0.0,154.89,FILL_DISCHARGE,N,100.0,5.0
LRFO.S,154.89,10.651,77.45,0.0,154.89,FILL_DISCHARGE,N,100.0,5.0
FW1.P,23.16,24.169,18.0,0.0,23.16,FILL_DISCHARGE,Y,100.0,5.0
FW1.S,23.16,24.169,18.0,0.0,23.16,FILL_DISCHARGE,Y,100.0,5.0
FW2.P,13.92,30.032,10.0,0.0,13.92,FILL_DISCHARGE,Y,100.0,5.0
FW2.S,13.92,30.032,10.0,0.0,13.92,FILL_DISCHARGE,Y,100.0,5.0
FWCARGO1.P,148.35,-12.599,0.0,0.0,148.35,FILL_DISCHARGE,Y,100.0,5.0
FWCARGO1.S,148.35,-12.599,0.0,0.0,148.35,FILL_DISCHARGE,Y,100.0,5.0
FWCARGO2.P,148.36,-5.099,0.0,0.0,148.36,FILL_DISCHARGE,Y,100.0,5.0
FWCARGO2.S,148.36,-5.099,0.0,0.0,148.36,FILL_DISCHARGE,Y,100.0,5.0
FWB1.P,50.57,-27.368,50.57,0.0,50.57,FILL_DISCHARGE,Y,100.0,5.0
FWB1.S,50.57,-27.368,50.57,0.0,50.57,FILL_DISCHARGE,Y,100.0,5.0
FWB2.P,109.98,-19.887,21.45,0.0,109.98,FILL_DISCHARGE,Y,100.0,1.0
FWB2.S,109.98,-19.887,21.45,0.0,109.98,FILL_DISCHARGE,Y,100.0,1.0
CL.P,7.12,-26.099,0.0,0.0,7.12,FILL_DISCHARGE,N,100.0,5.0
CL.S,7.12,-26.099,0.0,0.0,7.12,FILL_DISCHARGE,N,100.0,5.0
VOID3.P,152.08,2.401,0.0,0.0,152.08,FILL_DISCHARGE,Y,100.0,5.0
VOID3.S,152.08,2.401,0.0,0.0,152.08,FILL_DISCHARGE,Y,100.0,5.0
VOIDDB1.C,33.45,-21.635,0.0,0.0,33.45,FILL_DISCHARGE,Y,100.0,3.0
VOIDDB2.C,49.09,-0.599,0.0,0.0,49.09,FILL_DISCHARGE,Y,100.0,2.0
VOIDDB4.P,2.32,20.368,0.0,0.0,2.32,FILL_DISCHARGE,Y,100.0,5.0
VOIDDB4.S,5.06,20.873,0.0,0.0,5.06,FILL_DISCHARGE,Y,100.0,5.0
SLUDGE.C,5.42,21.357,1.43,0.0,5.42,FILL_DISCHARGE,N,100.0,5.0
SEWAGE.P,2.73,21.303,1.0,0.0,2.73,FILL_DISCHARGE,N,100.0,5.0
