Tank,UseFlag,Mode,Freeze,x_from_mid_m,Start_t,Δt_t,End_t,Min_t,Max_t
DO.P,N,FILL_DISCHARGE,N,18.9,2.44,0.0,2.44,0.0,3.05
DO.S,N,FILL_DISCHARGE,N,18.9,2.44,0.0,2.44,0.0,3.05
FODB1.C,Y,FILL_DISCHARGE,N,17.86,21.89,0.0,21.89,0.0,21.89
FODB1.P,Y,FILL_DISCHARGE,N,17.86,13.77,0.0,13.77,0.0,13.77
FODB1.S,Y,FILL_DISCHARGE,N,17.86,13.77,0.0,13.77,0.0,13.77
FOW1.P,N,FILL_DISCHARGE,N,16.99,0.0,0.0,0.0,0.0,10.39
FOW1.S,N,FILL_DISCHARGE,N,16.99,0.0,0.0,0.0,0.0,10.39
LRFO.P,N,FILL_DISCHARGE,N,10.65,77.45,0.0,77.45,0.0,154.89
LRFO.S,N,FILL_DISCHARGE,N,10.65,77.45,0.0,77.45,0.0,154.89
FW1.P,Y,FILL_DISCHARGE,N,24.17,23.16,0.0,23.16,0.0,23.16
FW1.S,Y,FILL_DISCHARGE,N,24.17,23.16,0.0,23.16,0.0,23.16
FW2.P,Y,FILL_DISCHARGE,N,30.03,13.92,0.0,13.92,0.0,13.92
FW2.S,Y,FILL_DISCHARGE,N,30.03,13.92,0.0,13.92,0.0,13.92
FWCARGO1.P,Y,FILL_DISCHARGE,N,-12.6,0.0,0.0,0.0,0.0,148.35
FWCARGO1.S,Y,FILL_DISCHARGE,N,-12.6,0.0,0.0,0.0,0.0,148.35
FWCARGO2.P,Y,FILL_DISCHARGE,N,-5.1,0.0,0.0,0.0,0.0,148.36
FWCARGO2.S,Y,FILL_DISCHARGE,N,-5.1,0.0,0.0,0.0,0.0,148.36
FWB1.P,Y,FILL_DISCHARGE,N,-27.37,0.0,0.0,0.0,0.0,50.57
FWB1.S,Y,FILL_DISCHARGE,N,-27.37,0.0,0.0,0.0,0.0,50.57
FWB2.P,Y,FILL_DISCHARGE,N,-19.89,0.0,0.0,0.0,0.0,109.98
FWB2.S,Y,FILL_DISCHARGE,N,-19.89,0.0,0.0,0.0,0.0,109.98
CL.P,N,FILL_DISCHARGE,N,-26.1,0.0,0.0,0.0,0.0,7.12
CL.S,N,FILL_DISCHARGE,N,-26.1,0.0,0.0,0.0,0.0,7.12
VOID3.P,Y,FILL_DISCHARGE,N,2.4,0.0,0.0,0.0,0.0,152.08
VOID3.S,Y,FILL_DISCHARGE,N,2.4,0.0,0.0,0.0,0.0,152.08
VOIDDB1.C,Y,FILL_DISCHARGE,N,-21.64,0.0,0.0,0.0,0.0,33.45
VOIDDB2.C,Y,FILL_DISCHARGE,N,-0.6,0.0,0.0,0.0,0.0,49.09
VOIDDB4.P,Y,FILL_DISCHARGE,N,20.37,2.32,0.0,2.32,0.0,2.32
VOIDDB4.S,Y,FILL_DISCHARGE,N,20.87,5.06,0.0,5.06,0.0,5.06
SLUDGE.C,N,FILL_DISCHARGE,N,21.36,1.43,0.0,1.43,0.0,5.42
SEWAGE.P,N,FILL_DISCHARGE,N,21.3,1.0,0.0,1.0,0.0,2.73
